style_group,signature,bopomofo_symbol,contact_sheet_row,occurrence_count,verification,notes
BIAOKAI_W5,89b4133982cf1d976d242473bc9e9997deab5e40,ㄅ,1,49,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 1; machine hint ㄅ/ㄉ only for audit, not used as truth"
BIAOKAI_W5,56d565efd24367cc2ad1c164cb176f0cf0f8d0f0,ㄅ,2,150,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 2; machine hint ㄅ/ㄉ only for audit, not used as truth"
BIAOKAI_W5,4aa469226ff8904a03af00e77419676d4f848c47,ㄆ,3,50,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 3; machine hint ㄆ/ㄓ only for audit, not used as truth"
BIAOKAI_W5,60851d513c2fc72c11d63cbe7b9969559bf339a3,ㄆ,4,19,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 4; machine hint ㄆ/ㄓ only for audit, not used as truth"
BIAOKAI_W5,e79b897729be45999683c64462c6748d5652cf67,ㄇ,5,28,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 5; machine hint ㄇ/ㄖ only for audit, not used as truth"
BIAOKAI_W5,2a3e578a01d7ae0f5106bafd9be6e50e2527c081,ㄇ,6,86,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 6; machine hint ㄇ/ㄖ only for audit, not used as truth"
BIAOKAI_W5,d0375d3564ed6eaea5fb4ee53c8eccbb579eb8bc,ㄈ,7,115,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 7; machine hint ㄈ/ㄛ only for audit, not used as truth"
BIAOKAI_W5,0566e6d82efa35e5cf678b7b3ffc09e6da532667,ㄉ,8,74,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 8; machine hint ㄉ/ㄌ only for audit, not used as truth"
BIAOKAI_W5,5ff064036e0eb9418bd92d7ff650e5a29e76d988,ㄌ,9,101,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 9; machine hint ㄉ/ㄌ only for audit, not used as truth"
BIAOKAI_W5,c18f8e689f7a8461b4632fcdd051ce0bf98b12cf,ㄌ,10,96,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 10; machine hint ㄉ/ㄌ only for audit, not used as truth"
