reference_mode,variant,glyph_id,body,style_support_count,style_groups,occurrence_count,font_count,file_count,conflict,conflict_detail
variant_gid,P1,595,ㄧ,5,BIAOKAI_W5|HEI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,77,5,20,N,
variant_gid,P1,601,ㄌㄧㄠ,2,KAICHU_MD|YUAN_W3W5,6,2,3,N,
variant_gid,P1,639,ㄗ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,22,3,5,N,
variant_gid,P1,660,ㄅㄨ,4,BIAOKAI_W5|HEI_W5|KAICHU_MD|YUAN_W3W5,65,5,16,N,
variant_gid,P1,661,ㄓㄨㄥ,1,KAICHU_MD,13,1,2,N,
variant_gid,P1,686,ㄍㄨㄥ,1,KAICHU_MD,2,1,1,N,
variant_gid,P1,689,ㄈㄣ,2,BIAOKAI_W5|KAICHU_MD,9,2,4,N,
variant_gid,P1,690,ㄑㄧㄝ,1,KAICHU_MD,1,1,1,N,
variant_gid,P1,715,ㄅㄚ,1,KAICHU_MD,3,1,2,N,
variant_gid,P1,789,ㄓㄢ,1,KAICHU_MD,2,1,1,N,
variant_gid,P1,799,ㄉㄠ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,P1,818,ㄋㄞ,1,KAICHU_MD,1,1,1,N,
variant_gid,P1,955,ㄏㄠ,1,KAICHU_MD,3,1,3,N,
variant_gid,P1,988,ㄑㄩ,1,KAICHU_MD,2,1,1,N,
variant_gid,P1,1043,ㄒㄧ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,P1,1211,ㄍㄥ,3,BIAOKAI_W5|YUAN_W3W5|YUAN_W7,5,3,2,N,
variant_gid,P1,1289,ㄐㄩㄝ,1,KAICHU_MD,1,1,1,N,
variant_gid,P1,1311,ㄋㄚ,1,KAICHU_MD,1,1,1,N,
variant_gid,P1,1349,ㄦ,1,KAICHU_MD,2,1,1,N,
variant_gid,P1,1357,ㄎㄜ,1,KAICHU_MD,1,1,1,N,
variant_gid,P1,1379,ㄛ,2,KAICHU_MD|YUAN_W3W5,10,2,6,N,
variant_gid,P1,1393,ㄏㄢ,1,KAICHU_MD,59,1,16,N,
variant_gid,P1,1395,ㄋㄜ,1,KAICHU_MD,36,1,13,N,
variant_gid,P1,1422,ㄐㄧㄝ,2,BIAOKAI_W5|KAICHU_MD,3,2,2,N,
