pdf_contains,pdf_excludes,page,target_char,stable_key,x0,y0,actual_reading,source,note
115國小健體3下課本,第一次續審,7,好,CFF:DFYuanZhuIn-W5#955,201.968,607.989,ㄏㄠˋ,使用者附檔黃底人工覆核（2026-08-15）,"P7「很多人好奇自己是怎麼到這個世界上的,」的「好」：使用者確認課本可見注音與預期注音相同；v3.9 實際注音辨識 ㄏㄠˇ 為誤辨。僅限此出現位置，不回灌字型鍵。"
115國小健體3下課本,第一次續審,7,了,CFF:DFYuanZhuIn-W5#601,391.89,632.083,ㄌㄧㄠˇ,使用者附檔黃底人工覆核（2026-08-15）,"P7「現在我們將搭乘「成長時光機」,了解出生、」的「了」：使用者確認課本可見注音與預期注音相同；v3.9 實際注音辨識 ˙ㄌㄜ 為誤辨。僅限此出現位置，不回灌字型鍵。"
115國小健體3下課本,第一次續審,15,一,CFF:DFYuanPoIn2-W3#595,304.951,233.186,ㄧˊ,使用者附檔黃底人工覆核（2026-08-15）,P15「一歲能走路七個月能爬行」的「一」：使用者確認課本可見注音與預期注音相同；v3.9 實際注音辨識 ㄧ 為誤辨。僅限此出現位置，不回灌字型鍵。
115國小健體3下課本,第一次續審,20,囉,CFF:DFYuanZhuIn-W3#5823,406.514,483.272,˙ㄌㄨㄛ,使用者附檔黃底人工覆核（2026-08-15）,P20「當然囉!」的「囉」：使用者確認課本可見注音與預期注音相同；v3.9 實際注音辨識 ㄌㄨㄛ 為誤辨。僅限此出現位置，不回灌字型鍵。
115國小健體3下課本,第一次續審,36,媽,DFPBiaoKai-W5-ZhuIn-BFW#14376,124.436,167.601,˙ㄇㄚ,使用者附檔黃底人工覆核（2026-08-15）,P36「被媽媽阻止了。」的「媽」：使用者確認課本可見注音與預期注音相同；v3.9 實際注音辨識 ㄇㄚ 為誤辨。僅限此出現位置，不回灌字型鍵。
115國小健體3下課本,第一次續審,38,挑,CFF:DFYuanZhuIn-W7#1855,402.519,51.776,ㄊㄧㄠˇ,使用者附檔黃底人工覆核（2026-08-15）,P38「消化道迷宮大挑戰」的「挑」：使用者確認課本可見注音與預期注音相同；v3.9 實際注音辨識 ㄊㄧㄠ 為誤辨。僅限此出現位置，不回灌字型鍵。
01-115國小健體3下課本-目次-三審,,5,乒,YenRoundZuinnEG-Bd#14262,418.747,536.749,ㄆㄧㄥ,GPT原頁視覺覆核（2026-08-17）,P5「桌球乒乓碰」的「乒」：原頁可見注音為ㄆㄧㄥ；v5.1.4精確字型對照誤解為ㄆㄤ。僅限此出現位置，不回灌字型鍵。
03-115國小健體3下課本-L02-三審,,28,闌,YenRoundZuinnEG-Md#14608,121.89,492.906,ㄌㄢˊ,GPT原頁視覺覆核（2026-08-17）,P28「闌尾」的「闌」：原頁可見注音為ㄌㄢˊ；v5.1.4誤解為ㄍㄨㄢ。僅限此出現位置，不回灌字型鍵。
03-115國小健體3下課本-L02-三審,,28,脾,YenRoundZuinnEG-Md#14266,445.276,314.496,ㄆㄧˊ,GPT原頁視覺覆核（2026-08-17）,P28器官圖「脾」：原頁可見注音為ㄆㄧˊ；v5.1.4誤解為ㄆㄞˊ。僅限此出現位置，不回灌字型鍵。
04-115國小健體3下課本-L03-三審,,53,瞄,LinGothicZuinnEG-Bd#14317,87.874,433.862,ㄇㄧㄠˊ,GPT原頁視覺覆核（2026-08-17）,P53「瞄火源根部」的「瞄」：原頁二聲調號清楚可見，實際為ㄇㄧㄠˊ；v5.1.4漏讀二聲為ㄇㄧㄠ。僅限此出現位置，不回灌字型鍵。
04-115國小健體3下課本-L03-三審,,54,熱,DFPBiaoKai-W5-ZhuIn-BFW#15284,99.213,570.11,ㄖㄜˋ,GPT原頁視覺覆核（2026-08-17）,P54「散熱空間」的「熱」：原頁可見注音為ㄖㄜˋ；v5.1.4誤解為ㄕㄡˊ。僅限此出現位置，不回灌字型鍵。
04-115國小健體3下課本-L03-三審,,42,釀,LinGothicZuinnEG-Bd#14562,278.079,188.372,ㄋㄧㄤˋ,GPT原頁視覺覆核（2026-08-17）,P42「玩火釀禍」的「釀」：原頁可見注音為ㄋㄧㄤˋ；v5.1.4誤解為ㄖㄤˋ。僅限此出現位置，不回灌字型鍵。
05-115國小健體3下課本-L04-三審,,59,囤,DFPBiaoKai-W5-ZhuIn-BFW#14598,145.103,151.068,ㄊㄨㄣˊ,GPT原頁視覺覆核（2026-08-17）,P59「囤積」的「囤」：原頁可見注音為ㄊㄨㄣˊ；v5.1.4誤解為ㄨㄟˊ。僅限此出現位置，不回灌字型鍵。
06-115國小健體3下課本-L05-三審,,72,臘,DFPBiaoKai-W5-ZhuIn-BFW#14674,157.323,129.12,ㄌㄚˋ,GPT原頁視覺覆核（2026-08-17）,P72第一處「古希臘」的「臘」：原頁可見注音為ㄌㄚˋ；v5.1.4誤解為ㄉㄢˇ。僅限此出現位置，不回灌字型鍵。
06-115國小健體3下課本-L05-三審,,72,臘,DFPBiaoKai-W5-ZhuIn-BFW#14674,306.142,129.12,ㄌㄚˋ,GPT原頁視覺覆核（2026-08-17）,P72第二處「希臘」的「臘」：原頁可見注音為ㄌㄚˋ；v5.1.4誤解為ㄉㄢˇ。僅限此出現位置，不回灌字型鍵。
09-115國小健體3下課本-L08-三審,,169,熱,DFPBiaoKai-W5-ZhuIn-BFW#15284,141.732,441.269,ㄖㄜˋ,GPT原頁視覺覆核（2026-08-17）,P169「熱水器」的「熱」：原頁可見注音為ㄖㄜˋ；v5.1.4誤解為ㄕㄡˊ。僅限此出現位置，不回灌字型鍵。
08-115國小健體3下課本-L07-三審,,135,個,DFPBiaoKai-W5-ZhuIn-BFW#14761,90.044,56.3,˙ㄍㄜ,GPT原頁視覺覆核（2026-08-17）,P135「一個人玩不夠刺激」的「個」：原頁可見注音上方有輕聲點，實際為˙ㄍㄜ；v5.1.4誤解為ㄍㄜˋ。僅限此出現位置，不回灌字型鍵。
