target_font,target_component_id,actual_zhuyin,source_font,source_component_id,component_id_offset,validation_method,visual_chamfer_distance,distance_threshold,occurrences_in_blind_test,char_examples,target_stable_key,target_glyph_sha256,source_stable_key,confidence
DFPWaWa-W5-ZhuIn-BFW,14224,ㄨㄢˇ,DFPBiaoKai-W5-ZhuIn-BFW,14224,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,4.558,7.0,1,碗,DFPWaWa-W5-ZhuIn-BFW#14224,7b0c3233ac765a8f8f679d15e76ae2205df9b633c8b791ff29038e2244f7fca1,DFPBiaoKai-W5-ZhuIn-BFW#14224,safe
DFPWaWa-W5-ZhuIn-BFW,14479,˙ㄉㄜ,DFPBiaoKai-W5-ZhuIn-BFW,14479,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,3.4824,7.0,1,的,DFPWaWa-W5-ZhuIn-BFW#14479,7035fa25dc3307a22b51849a2578acdec8169fbd54f2b02231b1d1779e3117fb,DFPBiaoKai-W5-ZhuIn-BFW#14479,safe
DFPWaWa-W5-ZhuIn-BFW,14775,ㄍㄢ,DFPBiaoKai-W5-ZhuIn-BFW,14775,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,6.4901,7.0,1,乾,DFPWaWa-W5-ZhuIn-BFW#14775,35c7dd32bd01aa6eca9b5cd8673764411c487fd61955797dd7379b7e5fa4855d,DFPBiaoKai-W5-ZhuIn-BFW#14775,safe
DFPWaWa-W5-ZhuIn-BFW,14824,ㄎㄜˇ,DFPBiaoKai-W5-ZhuIn-BFW,14824,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,5.1963,7.0,1,可,DFPWaWa-W5-ZhuIn-BFW#14824,7bf5b5d9a4cdbfcc900efd67aca3b98a16b05a461b03c7f91f80157a919af8d2,DFPBiaoKai-W5-ZhuIn-BFW#14824,safe
DFPWaWa-W5-ZhuIn-BFW,14839,ㄎㄤ,DFPBiaoKai-W5-ZhuIn-BFW,14839,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,4.0623,7.0,1,康,DFPWaWa-W5-ZhuIn-BFW#14839,b2e8a5150969e6df731eef1a5e23265768c828ba0a22a2d35eceb26447072ad3,DFPBiaoKai-W5-ZhuIn-BFW#14839,safe
DFPWaWa-W5-ZhuIn-BFW,14876,ㄏㄜˊ,DFPBiaoKai-W5-ZhuIn-BFW,14876,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,4.9844,7.0,1,何,DFPWaWa-W5-ZhuIn-BFW#14876,f679002492b39d59ec66b908d759e069b9bc824a584235e539b8f8462ab16baf,DFPBiaoKai-W5-ZhuIn-BFW#14876,safe
DFPWaWa-W5-ZhuIn-BFW,14961,ㄐㄧㄢˋ,DFPBiaoKai-W5-ZhuIn-BFW,14961,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,3.2981,7.0,1,健,DFPWaWa-W5-ZhuIn-BFW#14961,bed0092396ee504c467dbc948f7e92297c2471fae136a419497c3d99fe01037c,DFPBiaoKai-W5-ZhuIn-BFW#14961,safe
DFPWaWa-W5-ZhuIn-BFW,15065,ㄒㄧㄤ,DFPBiaoKai-W5-ZhuIn-BFW,15065,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,2.1061,7.0,1,香,DFPWaWa-W5-ZhuIn-BFW#15065,f6dea0118299e79ddd80a58079383052dc4ebd1f59c096443b9b8eb029b36a4e,DFPBiaoKai-W5-ZhuIn-BFW#15065,safe
DFPWaWa-W5-ZhuIn-BFW,15126,ㄓㄥ,DFPBiaoKai-W5-ZhuIn-BFW,15126,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,4.8272,7.0,1,蒸,DFPWaWa-W5-ZhuIn-BFW#15126,9d43bf3abe6ef61604229e80012e8a4bb14c721d9ffa897dfb43e1522e9e507b,DFPBiaoKai-W5-ZhuIn-BFW#15126,safe
DFPWaWa-W5-ZhuIn-BFW,15160,ㄔㄚˊ,DFPBiaoKai-W5-ZhuIn-BFW,15160,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,4.5178,7.0,1,茶,DFPWaWa-W5-ZhuIn-BFW#15160,fb279b53db059a6d05666aad84ba0b1ac7f6c3355bb574fcfe990ac982b6bf27,DFPBiaoKai-W5-ZhuIn-BFW#15160,safe
DFPWaWa-W5-ZhuIn-BFW,15193,ㄔㄨ,DFPBiaoKai-W5-ZhuIn-BFW,15193,0,跨字型輪廓驗證＋component_id 同 ID; target glyf SHA-256 runtime gate,4.2127,7.0,1,出,DFPWaWa-W5-ZhuIn-BFW#15193,080b6d2db375c47ad2d12f0ef09ef36484c4e8eaad7b9846692394becfa06568,DFPBiaoKai-W5-ZhuIn-BFW#15193,safe
