glyph_sha256,bopomofo,source_font,source_gid,verification,notes
f422e8a7a40d33c5acafea792862fbc1885a8e3dd2d27e03cc55f8b6441008d4,ㄍㄜˋ,DFPYuanW5-ZhuIn-BFW,14764,v3.4 盲測：直接渲染 isolated raw glyf 輪廓，人工辨識為 ㄍ+ㄜ+四聲；未查看中文字/句境作為判定依據,字形接觸表 A；runtime 只以 SHA-256 exact match 使用
bc47e0f2b3cf0f98495c7a1a88e41359537cc4de93d804d36da0f920f1bc6cf9,ㄔㄠˊ,DFPYuanW5-ZhuIn-BFW,15171,v3.4 盲測：直接渲染 isolated raw glyf 輪廓，人工辨識為 ㄔ+ㄠ+二聲；未查看中文字/句境作為判定依據,字形接觸表 B；runtime 只以 SHA-256 exact match 使用
046e887099f072474d91e177f08501dd7d27d0bf971a14f31c17ef2a2f9b5e63,ㄑㄧㄢˊ,DFPYuanW5-ZhuIn-BFW,15009,v3.4 盲測：直接渲染 isolated raw glyf 輪廓，人工辨識為 ㄑ+ㄧ+ㄢ+二聲；未查看中文字/句境作為判定依據,字形接觸表 C；runtime 只以 SHA-256 exact match 使用
0991ed4f76658afe56469196e28741cd5c53a711ad10a6d54cb241f7657041cf,ㄏㄢˋ,DFPYuanW5-PoIn3-BFW,14895,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #1; occurrences=18; runtime SHA-256 exact-only
36fe0649e4cbdf2831129243b4cfd448abf5992f5909a9f55e7bf843cd2a91d9,˙ㄗ,DFPYuanW5-PoIn1-BFW,15319,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #2; occurrences=14; runtime SHA-256 exact-only
1543bc72ecff67a2af86ac02572756c10d11bee885ab3d2c47e4efaee69c9824,ㄧˋ,DFHeiPoIn2-Bd-BPMW-BF,14210,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #3; occurrences=13; runtime SHA-256 exact-only
e5bee11122a9983689022106e40ce1d7729e121b8707fc58a81e52f911fa93a4,ㄇㄞˋ,DFPBiaoKai-W5-ZhuIn-BFW,14388,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #4; occurrences=11; runtime SHA-256 exact-only
472b0c13bf9dcf54eeb133cab1e78406f75413a07afe781c124bfc8835acc5c0,ㄧˊ,DFHeiPoIn1-Bd-BPMW-BF,14209,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #5; occurrences=8; runtime SHA-256 exact-only
7be0274ce2bd03c77211700a1235711c18127c390830cd91e429067da3b4e9bf,ㄇㄞˋ,DFPYuanW5-ZhuIn-BFW,14389,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #6; occurrences=8; runtime SHA-256 exact-only
91112fcdead3a717189a95e836c7d8e49a698e639b2ee080f5a71823d2c7998c,ㄍㄨㄥˋ,DFPYuanW5-ZhuIn-BFW,14817,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #7; occurrences=7; runtime SHA-256 exact-only
4cd138fc217dc9a2260c985517045ef2e0b3697ca8c0468364e5ce29c83196a2,ㄘㄞ,DFPBiaoKai-W5-ZhuIn-BFW,15377,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #8; occurrences=6; runtime SHA-256 exact-only
c69a8bb5745a310de5a7746a6a6c73d2f1d936dc278b9e11d8e7c6e54b7d387c,ㄘㄨㄣˊ,DFPBiaoKai-W5-ZhuIn-BFW,15413,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #9; occurrences=6; runtime SHA-256 exact-only
2f462193bf4d7a0d131c46d91879077a452ba1d19ff749894ea1346a278e2808,ㄌㄢˊ,DFPYuanW5-ZhuIn-BFW,14693,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #10; occurrences=6; runtime SHA-256 exact-only
1f48c2a8c38a2aa86e99f73b39ac0909f0345114a0a5764c6b3b0303674dff59,ㄏㄢˋ,DFHeiPoIn1-Bd-BPMW-BF,14937,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #11; occurrences=5; runtime SHA-256 exact-only
5a0eda9e4cbf5d5034d95cc6d3d3a9cafcb9d7d9a9903dc61bc6c1ccf6098a32,ㄧㄝˋ,DFHeiPoIn1-Bd-BPMW-BF,14219,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #12; occurrences=5; runtime SHA-256 exact-only
94ff74144534a05212f3cf10e3953ea171f028e84c2201df2051c5b252bfc071,ㄡˇ,DFPYuanW5-ZhuIn-BFW,14149,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #13; occurrences=5; runtime SHA-256 exact-only
45ee3ae8da1fa4e0b028b3f0b7988bea0eb7e9840c51291ec677a13d933c34d5,ㄊㄨˋ,DFPYuanW5-PoIn1-BFW,14584,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #14; occurrences=5; runtime SHA-256 exact-only
