font,component_id,glyph_sha256,old_reading,new_reading,source_book,evidence,verification,notes
DFPBiaoKai-W5-ZhuIn-BFW,14651,aa78af28aec7ad628ad9d1c5c8f88e079e03ecf87f158e5d5bedae0fdcc84287,ㄋㄧㄢˊ,ㄋㄧㄣˊ,115國小健體3上課本,isolated glyph 顯示 ㄋ+ㄧ+ㄣ+ˊ；exact symbol recombination 稽核首先發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
YenRoundZuinnEG-Md,14730,2634b4700a3fe8768045bf851f2d8b89a2513dec928524108d763a98bdf1f247,ㄊㄨㄛ,ㄍㄨㄤ,115國小健體3下課本,isolated glyph 顯示 ㄍ+ㄨ+ㄤ；exact symbol recombination 稽核首先發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
DFPBiaoKai-W5-ZhuIn-BFW,14794,dd4fe134c076bd60fdcf99f07efa6ad4d81f74697ec76977a50c4bae59335080,ㄎㄨㄛˋ,ㄍㄨㄚ,115國小健體3下課本,isolated glyph 顯示 ㄍ+ㄨ+ㄚ且無聲調；exact symbol recombination 稽核首先發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
YenRoundZuinn1EG-Md,14715,56ae1dcb1cf1e40b0fa14b169bfd7579bcd48bd7a0830504ea5d74087297bfbf,ㄍㄨㄛˋ,ㄍㄨㄛ,115國小健體3下課本,isolated glyph 顯示 ㄍ+ㄨ+ㄛ且無聲調；exact symbol recombination 稽核首先發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；詞境是否教材錯誤另由候選層判斷
YenRoundZuinnEG-Bd,14238,eb73981453b037e6a06c782f8c171ab411477c95492a933e164837aa98da62b9,ㄆㄧㄥ,ㄆㄤ,115國小健體3下課本,isolated glyph 顯示 ㄆ+ㄤ；exact symbol recombination 稽核首先發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
DFPBiaoKai-W5-ZhuIn-BFW,14468,b0343393a104367b94304bc78f0c7304a170ef2e5b097df11d20edf9a34162b2,ㄋㄩㄝˋ,ㄈㄨ,115國小健體3下課本,isolated glyph 顯示 ㄈ+ㄨ；exact symbol recombination 稽核首先發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
DFPBiaoKai-W5-ZhuIn-BFW,14617,20a0595b36d61d25ec5469702afe1c950356eb10582a554e9fae1a64cd967bd3,ㄐㄧㄠˇ,ㄋㄟˇ,115國小健體3下課本,isolated glyph 顯示 ㄋ+ㄟ+ˇ；exact symbol recombination 稽核首先發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
YenRoundZuinnEG-Bd,14670,561d2f4284367be7f77a3ef68e65deaa6187640c074b83c1c18bf580c857e922,ㄌㄨˋ,ㄌㄩㄝˋ,115國小健體3下課本,isolated glyph 顯示 ㄌ+ㄩ+ㄝ+ˋ；exact symbol recombination 稽核首先發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
DFPBiaoKai-W5-ZhuIn-BFW,14732,6b912c83c1d9d44971955db9dda45402f94436b42241e88a296d91bf99ef8b08,ㄐㄧㄣˋ,ㄌㄨˊ,115國小健體3下課本,isolated glyph 顯示 ㄌ+ㄨ+ˊ；leave-one-book-out exact recombination 發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
DFPBiaoKai-W5-ZhuIn-BFW,15000,7b67f44996a2677f0f972ac0f95f172966b24201beef62de013de951344b853d,ㄍㄨˇ,ㄑㄧㄠ,115國小健體3下課本,isolated glyph 顯示 ㄑ+ㄧ+ㄠ且無聲調；leave-one-book-out exact recombination 發現,isolated glyph visual + SHA256 exact gate,僅在 raw glyf SHA256 完全相同時修正；不以中文字/句境反填
