outline_signature,bopomofo,source_count,source_examples,verification,notes
7c166b8bea41809ab77b40fcf0e1037e2e538e5a,˙ㄅㄚ,2,DFPYuanW5-ZhuIn-BFW@xref1422#14258; DFPYuanW5-ZhuIn-BFW@xref3546#14258,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
80cb1cd11325929c5e5c5bbf8fcee376f10c1847,˙ㄅㄚ,5,DFPBiaoKai-W5-PoIn1-BFW@xref1400#14257; DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14257; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14257; DFPBiaoKai-W5-ZhuIn-BFW@xref3372#14257; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14257,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
c6b0022d07e7ed92361431047eae241afb01d554,˙ㄅㄛ,1,DFPYuanW5-PoIn1-BFW@xref1777#15487,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
32f2d5a66aaeb23de8b18d229c98fefe153ed6b7,˙ㄇㄚ,6,DFPYuanW5-ZhuIn-BFW@xref1349#14378; DFPYuanW5-ZhuIn-BFW@xref1422#14378; DFPYuanW5-ZhuIn-BFW@xref1770#14378; DFPYuanW5-ZhuIn-BFW@xref3391#14378; DFPYuanW5-ZhuIn-BFW@xref3546#14378; DFPYuanW5-ZhuIn-BFW@xref952#14378,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
9021bf146732e0edf0ec837e8801c3eda50c2cdb,˙ㄇㄚ,7,DFPBiaoKai-W5-ZhuIn-BFW@xref1279#14377; DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14377; DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14377; DFPBiaoKai-W5-ZhuIn-BFW@xref2802#14377; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14377; DFPBiaoKai-W5-ZhuIn-BFW@xref4404#14377; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14377,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
2f9a9f81450303b992d85f04acf3149312b2aa18,˙ㄇㄜ,4,DFPYuanW5-ZhuIn-BFW@xref1349#14387; DFPYuanW5-ZhuIn-BFW@xref3391#14387; DFPYuanW5-ZhuIn-BFW@xref372#14387; DFPYuanW5-ZhuIn-BFW@xref952#14387,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
3dea1e508621201dfb1799b6523a39eb12647e48,˙ㄇㄜ,2,DFHeiPoIn1-Bd-BPMW-BF@xref2459#14429; DFHeiPoIn1-Bd-BPMW-BF@xref365#14429,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
b3acbb1c7e4e5f5cda250448487b78e5c2e0cec7,˙ㄇㄜ,2,DFPBiaoKai-W5-PoIn1-BFW@xref322#14386; DFPBiaoKai-W5-PoIn1-BFW@xref839#14386,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
6d8cb8ba07401dbb64ec553d616790e30a92554d,˙ㄇㄣ,1,DFPYuanW5-PoIn1-BFW@xref1424#14405,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
82abddcacc996bbec45c1b06cf151c3370052813,˙ㄇㄣ,9,DFPBiaoKai-W5-ZhuIn-BFW@xref1279#14404; DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14404; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14404; DFPBiaoKai-W5-ZhuIn-BFW@xref3276#14404; DFPBiaoKai-W5-ZhuIn-BFW@xref3372#14404; DFPBiaoKai-W5-ZhuIn-BFW@xref4404#14404; DFPBiaoKai-W5-ZhuIn-BFW@xref5004#14404; DFPBiaoKai-W5-ZhuIn-BFW@xref5643#14404; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14404,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
