template_type,outline_signature,label,support_keys,support_fonts,source_examples,validation,notes
neutral,626399a9b35d109c88e09a1d2d3192e8b71dfda1,neutral,2,1,3up:DFHeiPoIn1-Bd-BPMW-BF#14429:麼:˙ㄇㄜ;3up:DFHeiPoIn1-Bd-BPMW-BF#15535:呢:˙ㄋㄜ,static full-data audit + key LOO + cross-book holdout; support>=2; negative-role gate,exact top neutral-dot signature; blocked when same signature has known non-neutral tone role
neutral,baa26b25ebecc4f05e289c7cf5796e28a6f71fb8,neutral,17,8,3down:YenRoundZuinnEG-Md#14274:嗎:˙ㄇㄚ;3down:YenRoundZuinnEG-Md#14303:們:˙ㄇㄣ;3down:YenRoundZuinnEG-Md#14379:的:˙ㄉㄜ;3down:YenRoundZuinn1EG-Md#14379:得:˙ㄉㄜ;3down:YenRoundZuinnEG-Md#14590:了:˙ㄌㄜ;3down:YenRoundZuinnEG-Md#14149:吧:˙ㄅㄚ;3down:YenRoundZuinnEG-Bd#14379:的:˙ㄉㄜ;3down:YenRoundZuinn2EG-Bd#14370:夫:˙ㄈㄨ;3down:YenRoundZuinnEG-Md#15305:子:˙ㄗ;3down:YenRoundZuinnEG-Bd#15305:子:˙ㄗ;3down:YenRoundZuinn1EG-Md#15000:西:˙ㄒㄧ;3down:ZhuYinNREG-Md#14379:的:˙ㄉㄜ,static full-data audit + key LOO + cross-book holdout; support>=2; negative-role gate,exact top neutral-dot signature; blocked when same signature has known non-neutral tone role
neutral,c9ebeebcbf6ef95b8fd8cc9135e992784d032495,neutral,2,2,3up:DFHeiChuIn-Bd-BPMW-BF#14522:的:˙ㄉㄜ;3up:DFHeiPoIn1-Bd-BPMW-BF#14522:得:˙ㄉㄜ,static full-data audit + key LOO + cross-book holdout; support>=2; negative-role gate,exact top neutral-dot signature; blocked when same signature has known non-neutral tone role
neutral,dfa9fb42b1784a7981f81e0f834d4cf34d7e5f30,neutral,4,3,3up:DFPBiaoKai-W5-PoIn1-BFW#14125:啊:˙ㄚ;3up:n@dW5@#14125:啊:˙ㄚ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15318:子:˙ㄗ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15318:子:˙ㄗ,static full-data audit + key LOO + cross-book holdout; support>=2; negative-role gate,exact top neutral-dot signature; blocked when same signature has known non-neutral tone role
symbol,20ac1ce4257a8dbe506a1ff145d325ae86af6880,ㄅ,6,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#14301:變:ㄅㄧㄢˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14294:別:ㄅㄧㄝˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14297:標:ㄅㄧㄠ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14301:變:ㄅㄧㄢˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14297:標:ㄅㄧㄠ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14294:別:ㄅㄧㄝˊ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,24f7075e675f8c0604ee359ff47898cda15f79c3,ㄅ,2,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#14311:補:ㄅㄨˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14311:補:ㄅㄨˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,35f07c507705c86a2a2dc37bb571c6a4bd954e86,ㄅ,25,2,3up:DFPYuanW5-ZhuIn-BFW#14282:本:ㄅㄣˇ;3up:DFPYuanW5-ZhuIn-BFW#14273:包:ㄅㄠ;3up:DFPYuanW5-ZhuIn-BFW#14310:不:ㄅㄨˊ;3up:DFPYuanW5-PoIn1-BFW#14311:不:ㄅㄨˋ;3up:DFPYuanW5-ZhuIn-BFW#14277:班:ㄅㄢ;3up:DFPYuanW5-PoIn1-BFW#14270:背:ㄅㄟ;3up:DFPYuanW5-ZhuIn-BFW#14311:部:ㄅㄨˋ;3up:DFPYuanW5-ZhuIn-BFW#14271:被:ㄅㄟˋ;3up:DFPYuanW5-ZhuIn-BFW#14261:把:ㄅㄚˇ;3up:DFPYuanW5-ZhuIn-BFW#14278:扮:ㄅㄢˋ;3up:DFPYuanW5-ZhuIn-BFW#14291:鼻:ㄅㄧˊ;3up:DFPYuanW5-ZhuIn-BFW#14258:吧:˙ㄅㄚ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,5355409f6b468706ea968c57f1d2b72da9b353cb,ㄅ,2,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#14256:巴:ㄅㄚ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14256:八:ㄅㄚ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,58615c71b54d3d89426d644a00f2b75197dd965d,ㄅ,13,3,3up:DFPBiaoKai-W5-PoIn1-BFW#14310:不:ㄅㄨˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14257:吧:˙ㄅㄚ;3up:n@dW5@#14310:不:ㄅㄨˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14309:不:ㄅㄨˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14310:部:ㄅㄨˋ;3up:DFPBiaoKai-W5-PoIn1-BFW#14257:爸:˙ㄅㄚ;3up:n@dW5@#14257:爸:˙ㄅㄚ;3down:DFPBiaoKai-W5-PoIn1-BFW#15487:寶:˙ㄅㄠ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14309:不:ㄅㄨˊ;3down:DFPBiaoKai-W5-PoIn1-BFW#14257:爸:˙ㄅㄚ;3down:DFPBiaoKai-W5-PoIn1-BFW#14310:不:ㄅㄨˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14310:部:ㄅㄨˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,6a966d6ee8f68700495d74aadd4d9f24e8097eed,ㄅ,44,8,3down:YenRoundZuinnEG-Md#14172:辦:ㄅㄢˋ;3down:YenRoundZuinnEG-Md#14188:標:ㄅㄧㄠ;3down:YenRoundZuinnEG-Md#14201:避:ㄅㄧˋ;3down:YenRoundZuinnEG-Md#14164:備:ㄅㄟˋ;3down:YenRoundZuinnEG-Md#14149:吧:˙ㄅㄚ;3down:YenRoundZuinnEG-Md#14191:編:ㄅㄧㄢ;3down:YenRoundZuinnEG-Bd#14193:變:ㄅㄧㄢˋ;3down:YenRoundZuinnEG-Bd#14191:邊:ㄅㄧㄢ;3down:YenRoundZuinnEG-Bd#14160:擺:ㄅㄞˇ;3down:YenRoundZuinnEG-Md#14189:表:ㄅㄧㄠˇ;3down:YenRoundZuinnEG-Md#14200:筆:ㄅㄧˇ;3down:YenRoundZuinnEG-Md#14193:便:ㄅㄧㄢˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
