pdf_contains,page,font_xref,font,zhuyin_component_id,bopomofo,verification,notes
114國小健體4下課本,,213,YenRoundZuinn1EG-Md,14537,ㄋㄢˋ,使用者原頁人工確認（2026-08-15）,P1「防災避難措施」的難；v2.9 因同 font+component ID 與 P197 不同子集混用而誤讀為ㄋㄢˊ。
114國小健體4下課本,,1211,YenRoundZuinn1EG-Bd,14537,ㄋㄢˋ,使用者原頁人工確認（2026-08-15）,P73「緊急避難包」的難；課本注音正確。
114國小健體4下課本,,1332,LinGothicZuinn1EG-Md,14537,ㄋㄢˋ,使用者原頁人工確認（2026-08-15）,P83 三處「緊急避難包」的難；課本注音正確。
114國小健體4下課本,,1513,YenRoundZuinnEG-Bd,14892,ㄐㄧㄤˋ,使用者原頁人工確認（2026-08-15）,P90「降階弓箭步」的降；v2.9 群組回退誤讀為ㄐㄧㄤ。
114國小健體4下課本,,2403,YenRoundZuinnEG-Bd,14394,ㄉㄢˋ,使用者原頁人工確認（2026-08-15）,P166「飛彈發射」的彈；v2.9 全域 font+component 對照誤讀為ㄊㄢˊ。
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,14888,ㄐㄧㄣˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=緊；頁碼=72,83。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,476,YenRoundZuinnEG-Md,15473,ㄧㄣˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=齦；頁碼=19。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,14686,ㄍㄞ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=該；頁碼=82,83。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,243,YenRoundZuinnEG-Bd,14214,ㄆㄛˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=破；頁碼=5,52,141,148,195。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,744,YenRoundZuinnEG-Bd,14214,ㄆㄛˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=破；頁碼=5,52,141,148,195。使用 PDF+xref 限定，避免污染其他教材字型子集。"
