font,zhuyin_component_id,bopomofo,verification,notes
DFPBiaoKai-W5-ZhuIn-BFW,14124,ㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,啊
DFPBiaoKai-W5-ZhuIn-BFW,14136,ㄞ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,唉
DFPBiaoKai-W5-ZhuIn-BFW,14138,ㄞˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,愛
DFPBiaoKai-W5-ZhuIn-BFW,14149,ㄢ,直接渲染注音元件字形,安
DFPBiaoKai-W5-ZhuIn-BFW,14151,ㄢˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,按
DFPBiaoKai-W5-ZhuIn-BFW,14165,ㄧ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,一
DFPBiaoKai-W5-ZhuIn-BFW,14167,ㄧˋ,直接渲染注音元件字形,意／易
DFPBiaoKai-W5-ZhuIn-BFW,14168,ㄧˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,以
DFPBiaoKai-W5-ZhuIn-BFW,14169,ㄧㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,壓
DFPBiaoKai-W5-ZhuIn-BFW,14173,ㄧㄛ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,唷
DFPBiaoKai-W5-ZhuIn-BFW,14177,ㄧㄝˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,也
DFPBiaoKai-W5-ZhuIn-BFW,14179,ㄧㄠ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,腰
DFPBiaoKai-W5-ZhuIn-BFW,14181,ㄧㄠˋ,直接渲染注音元件字形,要
DFPBiaoKai-W5-ZhuIn-BFW,14185,ㄧㄡˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,右
DFPBiaoKai-W5-ZhuIn-BFW,14186,ㄧㄡˇ,直接渲染注音元件字形,有／友
DFPBiaoKai-W5-ZhuIn-BFW,14190,ㄧㄢˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,演
DFPBiaoKai-W5-ZhuIn-BFW,14191,ㄧㄣ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,音
DFPBiaoKai-W5-ZhuIn-BFW,14193,ㄧㄣˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,印
DFPBiaoKai-W5-ZhuIn-BFW,14194,ㄧㄣˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,引
DFPBiaoKai-W5-ZhuIn-BFW,14197,ㄧㄤˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,樣
DFPBiaoKai-W5-ZhuIn-BFW,14202,ㄧㄥˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,影
DFPBiaoKai-W5-ZhuIn-BFW,14204,ㄨˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,無
DFPBiaoKai-W5-ZhuIn-BFW,14212,ㄨㄛˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,握
DFPBiaoKai-W5-ZhuIn-BFW,14213,ㄨㄛˇ,直接渲染注音元件字形,我
DFPBiaoKai-W5-ZhuIn-BFW,14218,ㄨㄟˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,危
DFPBiaoKai-W5-ZhuIn-BFW,14219,ㄨㄟˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,位
DFPBiaoKai-W5-ZhuIn-BFW,14222,ㄨㄢˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,玩、完
DFPBiaoKai-W5-ZhuIn-BFW,14223,ㄨㄢˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,萬
DFPBiaoKai-W5-ZhuIn-BFW,14228,ㄨㄣˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,穩
DFPBiaoKai-W5-ZhuIn-BFW,14231,ㄨㄤˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,忘
DFPBiaoKai-W5-ZhuIn-BFW,14239,ㄩˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,預、遇
DFPBiaoKai-W5-ZhuIn-BFW,14240,ㄩˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,雨
DFPBiaoKai-W5-ZhuIn-BFW,14242,ㄩㄝˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,越
DFPBiaoKai-W5-ZhuIn-BFW,14244,ㄩㄢˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,圓、員、援、原
DFPBiaoKai-W5-ZhuIn-BFW,14246,ㄩㄢˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,遠
DFPBiaoKai-W5-ZhuIn-BFW,14254,ㄩㄥˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,用
DFPBiaoKai-W5-ZhuIn-BFW,14256,ㄅㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,叭
DFPBiaoKai-W5-ZhuIn-BFW,14257,˙ㄅㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,吧
DFPBiaoKai-W5-ZhuIn-BFW,14260,ㄅㄚˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,把
DFPBiaoKai-W5-ZhuIn-BFW,14270,ㄅㄟˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,被
DFPBiaoKai-W5-ZhuIn-BFW,14274,ㄅㄠˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,抱、報
DFPBiaoKai-W5-ZhuIn-BFW,14275,ㄅㄠˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,保
DFPBiaoKai-W5-ZhuIn-BFW,14282,ㄅㄤ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,幫
DFPBiaoKai-W5-ZhuIn-BFW,14291,ㄅㄧˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,臂
