char,allowed_readings,source,source_section,note
波,ㄅㄛ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄅㄛ；錯誤音：ㄆㄛ
播,ㄅㄛˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄅㄛˋ；錯誤音：ㄅㄛ
奔,ㄅㄣ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄅㄣ；錯誤音：ㄅㄣˋ
鄙,ㄅㄧˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄅㄧˇ；錯誤音：ㄅㄧˋ
臂,ㄅㄧˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄅㄧˋ；錯誤音：ㄅㄟˋ
蝙,ㄅㄧㄢ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄅㄧㄢ；錯誤音：ㄅㄧㄢˇ
徧,ㄅㄧㄢˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄅㄧㄢˋ；錯誤音：ㄆㄧㄢˋ
遍,ㄅㄧㄢˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄅㄧㄢˋ；錯誤音：ㄆㄧㄢˋ
紕,ㄆㄧ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄆㄧ；錯誤音：ㄆㄧˊ
膜,ㄇㄛˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄇㄛˊ；錯誤音：ㄇㄛˋ
伐,ㄈㄚ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄈㄚ；錯誤音：ㄈㄚˊ
法,ㄈㄚˇ；ㄈㄚˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄈㄚˇ、ㄈㄚˊ；錯誤音：ㄈㄚˋ
導,ㄉㄠˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄉㄠˇ；錯誤音：ㄉㄠˋ
多,ㄉㄨㄛ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄉㄨㄛ；錯誤音：ㄉㄨㄛˊ
濤,ㄊㄠˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄊㄠˊ；錯誤音：ㄊㄠ
骰,ㄊㄡˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄊㄡˊ；錯誤音：ㄕㄞˇ
剔,ㄊㄧ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄊㄧ；錯誤音：ㄊㄧˋ
帖,ㄊㄧㄝˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄊㄧㄝˇ；錯誤音：ㄊㄧㄝˋ
褪,ㄊㄨㄣˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄊㄨㄣˋ；錯誤音：ㄊㄨㄟˋ
累,ㄌㄟˇ；ㄌㄟˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄌㄟˇ、ㄌㄟˋ；錯誤音：ㄌㄟˊ
犛,ㄌㄧˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄌㄧˊ；錯誤音：ㄇㄠˊ
賃,ㄌㄧㄣˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄌㄧㄣˋ；錯誤音：ㄖㄣˋ
更,ㄍㄥ；ㄍㄥˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄍㄥ、ㄍㄥˋ；錯誤音：ㄐㄧㄥ
喀,ㄎㄚ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄎㄚ；錯誤音：ㄎㄜˋ
刻,ㄎㄜˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄎㄜˋ；錯誤音：ㄎㄜ
慨,ㄎㄞˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄎㄞˇ；錯誤音：ㄎㄞˋ
眶,ㄎㄨㄤ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄎㄨㄤ；錯誤音：ㄎㄨㄤˋ
逅,ㄏㄡˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄏㄡˋ；錯誤音：ㄍㄡˋ
誨,ㄏㄨㄟˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄏㄨㄟˋ；錯誤音：ㄏㄨㄟˇ
混,ㄏㄨㄣˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄏㄨㄣˋ；錯誤音：ㄏㄨㄣˇ
擷,ㄐㄧㄝˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄐㄧㄝˊ；錯誤音：ㄒㄧㄝˊ
赳,ㄐㄧㄡ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄐㄧㄡ；錯誤音：ㄐㄧㄡˇ
漸,ㄐㄧㄢˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄐㄧㄢˋ；錯誤音：ㄐㄧㄢ
囝,ㄐㄧㄢˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄐㄧㄢˇ；錯誤音：ㄋㄢ
覲,ㄐㄧㄣˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄐㄧㄣˋ；錯誤音：ㄐㄧㄣˇ
勁,ㄐㄧㄥˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄐㄧㄥˋ；錯誤音：ㄐㄧㄣˋ
漆,ㄑㄧ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄑㄧ；錯誤音：ㄑㄩˋ
畦,ㄑㄧˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄑㄧˊ；錯誤音：ㄒㄧ
騎,ㄑㄧˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄑㄧˊ；錯誤音：ㄐㄧˋ
瞿,ㄑㄩˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄑㄩˊ；錯誤音：ㄑㄩ
穹,ㄑㄩㄥ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄑㄩㄥ；錯誤音：ㄑㄩㄥˊ
楔,ㄒㄧㄝ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄒㄧㄝ；錯誤音：ㄒㄧㄝˋ
血,ㄒㄧㄝˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄒㄧㄝˇ；錯誤音：ㄒㄩㄝˋ
雪,ㄒㄩㄝˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄒㄩㄝˇ；錯誤音：ㄒㄩㄝˋ
漩,ㄒㄩㄢˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄒㄩㄢˊ；錯誤音：ㄒㄩㄢˋ
吱,ㄓ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄓ；錯誤音：ㄗ
喳,ㄓㄚ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄓㄚ；錯誤音：ㄔㄚ
紮,ㄓㄚˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄓㄚˊ；錯誤音：ㄗㄚ
豉,ㄔˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄔˇ；錯誤音：ㄕˋ
差,ㄔㄚ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄔㄚ；錯誤音：ㄔㄚˋ
場,ㄔㄤˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄔㄤˇ；錯誤音：ㄔㄤˊ
稱,ㄔㄥ；ㄔㄥˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄔㄥ、ㄔㄥˋ；錯誤音：ㄔㄣˋ
使,ㄕˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄕˇ；錯誤音：ㄕˋ
熟,ㄕㄡˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄕㄡˊ；錯誤音：ㄕㄨˊ
什,ㄕㄣˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄕㄣˊ；錯誤音：ㄕㄜˊ
攘,ㄖㄤˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄖㄤˊ；錯誤音：ㄖㄤˇ
妊,ㄖㄣˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄖㄣˋ；錯誤音：ㄖㄣˊ
怎,ㄗㄣˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄗㄣˇ；錯誤音：ㄗㄜˇ
雌,ㄘ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄘ；錯誤音：ㄘˊ
糙,ㄘㄠ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄘㄠ；錯誤音：ㄘㄠˋ
賜,ㄙˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄙˋ；錯誤音：ㄘˋ
阿,ㄚ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄚ；錯誤音：ㄚˋ
癌,ㄞˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄞˊ；錯誤音：ㄧㄢˊ
誼,ㄧˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄧˋ；錯誤音：ㄧˊ
杳,ㄧㄠˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄧㄠˇ；錯誤音：ㄇㄧㄠˇ
亞,ㄧㄚˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄧㄚˋ；錯誤音：ㄧㄚˇ
液,ㄧㄝˋ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄧㄝˋ；錯誤音：ㄧˋ
巫,ㄨ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄨ；錯誤音：ㄨˊ
誣,ㄨ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄨ；錯誤音：ㄨˊ
梧,ㄨˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄨˊ；錯誤音：ㄨˋ
玩,ㄨㄢˊ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄨㄢˊ；錯誤音：ㄨㄢˋ
尾,ㄨㄟˇ,統一用字手冊113.10.04.docx,容易錯的注音－單字正誤音表,手冊列為正確音：ㄨㄟˇ；錯誤音：ㄧˇ
纍,ㄌㄟˊ,統一用字手冊113.10.04.docx,語文組統一注音1－果實纍纍,手冊結論：【纍】注音為ㄌㄟˊ。
