rule_id,priority,mode,target_char,phrase,expected_reading,excluded_phrases,source,source_url,note,pdf_contains,evidence_level
HB-T4-R001-1,10000,exact,兒,花兒,ㄦ,,統一用字手冊113.10.04.docx,,容易錯的注音｜詞綴為兒化音。,,handbook_highest
HB-T4-R002-1,10000,exact,液,液體,ㄧㄝˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜液只有單一注音ㄧㄝˋ。,,handbook_highest
HB-T4-R003-1,10000,exact,角,角色,ㄐㄩㄝˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜五音、戲曲演員、角宿等義，音ㄐㄩㄝˊ。 對角、角落、號角等義，音ㄐㄧㄠˇ。,,handbook_highest
HB-T4-R004-1,10000,exact,麗,高麗菜,ㄌㄧˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜高麗國、高麗菜、高麗紙皆音ㄌㄧˊ。,,handbook_highest
HB-T4-R005-1,10000,exact,更,三更半夜,ㄍㄥ,,統一用字手冊113.10.04.docx,,容易錯的注音｜更：變更、更夫、三更半夜、少不更事。 更：自力更生、更好、更生人。 無ㄐㄧㄥ音,,handbook_highest
HB-T4-R006-1,10000,exact,骰,骰子,ㄊㄡˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜「骰子」一名「色子」，但注音不同。 不用懷疑，已問過國語會，將來不會改。,,handbook_highest
HB-T4-R007-1,10000,exact,色,色子,ㄕㄞˇ,,統一用字手冊113.10.04.docx,,容易錯的注音｜「骰子」一名「色子」，但注音不同。 不用懷疑，已問過國語會，將來不會改。,,handbook_highest
HB-T4-R008-1,10000,exact,臂,手臂,ㄅㄧˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜臂只有單一注音ㄅㄧˋ。,,handbook_highest
HB-T4-R009-1,10000,exact,怎,怎麼,ㄗㄣˇ,,統一用字手冊113.10.04.docx,,容易錯的注音｜怎只有單一注音ㄗㄣˇ。,,handbook_highest
HB-T4-R010-1,10000,exact,多,多麼,ㄉㄨㄛ,,統一用字手冊113.10.04.docx,,容易錯的注音｜多只有單一注音ㄉㄨㄛ。,,handbook_highest
HB-T4-R011-1,10000,exact,什,什麼,ㄕㄣˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜「什」麼：限讀ㄕㄣˊ。,,handbook_highest
HB-T4-R012-1,10000,exact,法,法國,ㄈㄚˇ,,統一用字手冊113.10.04.docx,,容易錯的注音｜外文譯音分兩類： 1.以字的本讀為準，如法國、俄國。 2.特殊詞語取當讀之音，如南無、祕魯。,,handbook_highest
HB-T4-R013-1,10000,exact,俄,俄國,ㄜˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜外文譯音分兩類： 1.以字的本讀為準，如法國、俄國。 2.特殊詞語取當讀之音，如南無、祕魯。,,handbook_highest
HB-T4-R014-1,10000,exact,祕,祕魯,ㄅㄧˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜外文譯音分兩類： 1.以字的本讀為準，如法國、俄國。 2.特殊詞語取當讀之音，如南無、祕魯。,,handbook_highest
HB-T4-R015-1,10000,exact,南,南無,ㄋㄚˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜外文譯音分兩類： 1.以字的本讀為準，如法國、俄國。 2.特殊詞語取當讀之音，如南無、祕魯。,,handbook_highest
HB-T4-R015-2,10000,exact,無,南無,ㄇㄛˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜外文譯音分兩類： 1.以字的本讀為準，如法國、俄國。 2.特殊詞語取當讀之音，如南無、祕魯。,,handbook_highest
HB-T4-R016-1,10000,exact,熟,熟悉,ㄕㄡˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜熟只有單一注音ㄕㄡˊ。,,handbook_highest
HB-T4-R017-1,10000,exact,漆,漆黑,ㄑㄧ,,統一用字手冊113.10.04.docx,,容易錯的注音｜漆只有單一注音ㄑㄧ。,,handbook_highest
HB-T4-R018-1,10000,exact,播,廣播,ㄅㄛˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜播只有單一注音ㄅㄛˋ。,,handbook_highest
HB-T4-R019-1,10000,exact,波,波浪,ㄅㄛ,,統一用字手冊113.10.04.docx,,容易錯的注音｜波只有單一注音ㄅㄛ。,,handbook_highest
HB-T4-R020-1,10000,exact,伐,步伐,ㄈㄚ,,統一用字手冊113.10.04.docx,,容易錯的注音｜伐只有單一注音ㄈㄚ。,,handbook_highest
HB-T4-R021-1,10000,exact,漲,漲潮,ㄓㄤˇ,,統一用字手冊113.10.04.docx,,容易錯的注音｜漲：標準線增高。如：水位暴漲、漲價。 漲：體積膨大。,,handbook_highest
HB-T4-R022-1,10000,exact,漲,熱漲冷縮,ㄓㄤˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜漲：標準線增高。如：水位暴漲、漲價。 漲：體積膨大。,,handbook_highest
HB-T4-R023-1,10000,exact,冠,皇冠,ㄍㄨㄢ,,統一用字手冊113.10.04.docx,,容易錯的注音｜冠：皇冠、雞冠、冠冕堂皇。 冠：冠禮、冠軍、豔冠群芳、冠絕一時。,,handbook_highest
HB-T4-R024-1,10000,exact,冠,冠禮,ㄍㄨㄢˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜冠：皇冠、雞冠、冠冕堂皇。 冠：冠禮、冠軍、豔冠群芳、冠絕一時。,,handbook_highest
HB-T4-R025-1,10000,exact,混,混合,ㄏㄨㄣˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜混只有ㄏㄨㄣˋ和ㄎㄨㄣ（混夷）。,,handbook_highest
